Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size (Bytes)
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,16998
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,16998
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,8526
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,19822
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,22646
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,11350
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,14174
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,19822
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,8526
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,16998
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,8526
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,19822
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,11350
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,16998
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,28294
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,22646
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,5702
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,14174
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,14174
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,14174
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:32,2.20.114.62,192.168.100.237,TCP,443,62134,1466
